#queryName	queryLength	firstQueryPos	lastQueryPos	hitName	hitLength	firstHitPos	lastHitPos	frame	hitDescription	numberOfHits	coverage	identity	evalue	score	hspLength	relIdentity
5768_g	630	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5769_g	528	232	510	Q8I231	371	225	318	+1	UMP-CMP kinase, putative	30	0.25	63	5e-32	141	94	0.68
5770_g	507	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5771_g	453	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5772_g	353	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5773_g	75	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5774_g	75	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5775_g	1792	262	1533	Q8IKC0	2128	155	669	+1	Putative uncharacterized protein	8	0.11	108	2e-44	186	229	0.48
5776_g	303	4	240	B3L482	84	6	84	+1	Putative uncharacterized protein	4	0.94	49	7e-08	61	79	0.63
5777_g	498	4	474	Q4XKY8	156	1	151	+1	Putative uncharacterized protein	7	1.01	83	2e-36	156	158	0.53
5778_g	72	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5779_g	168	1	153	A5K5Q0	91	18	68	+1	U6 snRNA-associated Sm-like protein LSm3, 	9	0.56	41	1e-15	87	51	0.81
5780_g	906	1	903	B3L692	304	1	304	+1	F-actin capping protein beta subunit, 	30	1.00	186	4e-99	366	304	0.62
5781_g	873	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5782_g	72	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5783_g	1191	442	1182	D3YHT1	362	21	362	+1	Transmission-blocking target antigen Pfs230 	10	0.46	71	6e-27	127	165	0.44
5784_g	915	103	885	Q7R9U6	308	48	308	+1	Putative uncharacterized protein PY06764 	6	0.85	139	6e-70	269	262	0.54
5785_g	234	1	222	B3KZB4	364	1	84	+1	Mitogen-activated protein kinase organizer 	4	0.23	54	2e-22	110	84	0.65
5786_g	135	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5787_g	480	1	477	O96212	328	170	328	+1	Heat shock 40 kDa protein, putative	30	0.48	120	2e-60	236	159	0.76
5788_g	99	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5789_g	57	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5790_g	1527	946	1260	Q8IIT8	2021	336	440	+1	Conserved Plasmodium protein	4	0.05	59	5e-16	91	105	0.57
5791_g	1722	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5792_g	1172	166	1170	B3L4H4	1356	958	1340	+1	ABC transporter, putative	30	0.28	206	1e-90	338	386	0.54
5793_g	683	102	440	O77308	1365	664	776	+3	ABC transporter, (TAP family), putative 	5	0.08	65	8e-24	115	113	0.58
5794_g	360	4	342	C0H4G6	228	107	223	+1	Putative uncharacterized protein	5	0.51	75	5e-38	161	117	0.65
5795_g	1237	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5796_g	1416	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5797_g	552	199	550	B3L5T1	1407	8	123	+1	Protein kinase, putative	6	0.06	41	2e-18	79	83	0.50
5798_g	69	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5799_g	99	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5800_g	90	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5801_g	753	397	738	O97235	390	37	144	+1	Elongation factor Ts, mitochondrial	30	0.29	68	1e-25	121	115	0.60
5802_g	363	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5803_g	684	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5804_g	153	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5805_g	228	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5806_g	819	61	816	B3L0Z7	272	21	272	+1	Prohibitin, putative. prohibitin, putative 	30	0.93	234	2e-130	470	252	0.93
5807_g	1071	1	891	Q8I420	342	1	333	+1	Triose phosphate transporter	30	0.97	207	4e-103	380	333	0.63
5808_g	369	1	297	Q8I1X0	102	1	99	+1	Putative uncharacterized protein	6	0.97	69	3e-33	145	99	0.70
5809_g	1206	85	1191	B3L5Q0	345	8	344	+1	Putative uncharacterized protein	30	1.08	184	1e-98	365	371	0.50
5810_g	1344	40	1341	Q8IBS1	449	15	444	+1	Thioredoxin-like protein	18	1.00	244	3e-116	424	448	0.55
5811_g	224	72	215	A5KAG0	393	344	391	+3	Putative uncharacterized protein	6	0.12	33	9e-11	71	48	0.69
5812_g	213	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5813_g	369	1	363	H0YS85	985	865	985	+1	Uncharacterized protein	30	0.12	113	4e-58	228	121	0.94
5814_g	180	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5815_g	1284	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5816_g	1847	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5817_g	168	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5818_g	357	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5819_g	468	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5820_g	336	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5821_g	150	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5822_g	114	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5823_g	1374	34	315	Q8IB74	807	7	107	+1	Putative uncharacterized protein	13	0.13	39	9e-16	90	101	0.39
5824_g	84	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5825_g	426	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5826_g	177	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5827_g	1029	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5828_g	846	97	831	Q4XQU6	266	7	250	+1	Putative uncharacterized protein	30	0.92	126	3e-58	230	245	0.52
5829_g	183	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5830_g	135	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5831_g	114	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5832_g	1080	1	954	H0ZB71	2218	759	1035	+1	Uncharacterized protein	30	0.14	254	1e-114	418	318	0.80
5833_g	47	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5834_g	747	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5835_g	759	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5836_g	396	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5837_g	1952	1011	1655	Q8IES7	9271	7567	7741	+3	Peptidase, putative	11	0.02	86	7e-13	81	219	0.40
5838_g	330	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5839_g	264	16	249	Q8IDC1	139	61	136	+1	Putative uncharacterized protein	1	0.56	38	1e-07	60	78	0.49
5840_g	333	19	159	H0Z659	817	759	805	+1	Uncharacterized protein	30	0.06	44	2e-16	89	47	0.94
5841_g	93	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5842_g	138	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5843_g	648	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5844_g	1667	1449	1664	B3L1M5	4281	2127	2198	+3	Phosphatidylinositol 4-kinase, putative 	1	0.02	32	8e-09	67	72	0.45
5845_g	318	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5846_g	441	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5847_g	1341	1	1338	B3L260	441	1	441	+1	RAP protein, putative	30	1.01	310	0	667	446	0.70
5848_g	405	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5849_g	450	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5850_g	402	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5851_g	117	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5852_g	132	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5853_g	213	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5854_g	177	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5855_g	389	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5856_g	198	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5857_g	1512	445	1482	Q4Z7Q2	1173	677	1004	+1	Putative uncharacterized protein	6	0.32	112	2e-32	146	370	0.31
5858_g	249	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5859_g	399	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5860_g	787	41	772	Q4Y2E7	412	37	269	+2	Putative uncharacterized protein (Fragment) 	6	0.60	88	4e-23	113	247	0.36
5861_g	423	145	360	B3L957	449	59	130	+1	Putative uncharacterized protein	5	0.16	35	1e-11	74	72	0.49
5862_g	1110	1	1095	Q8I1Z5	400	1	399	+1	Ubiquitin specific protease, putative 	30	1.00	231	2e-115	421	399	0.58
5863_g	69	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5864_g	1852	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5865_g	135	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5866_g	591	109	440	H1A4P8	244	120	244	+1	Uncharacterized protein (Fragment)	30	0.36	66	1e-37	141	89	0.75
5867_g	408	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5868_g	1236	283	1227	Q7RF93	335	20	335	+1	Ribosomal protein L3, putative	30	0.94	277	3e-147	526	316	0.88
5869_g	237	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5870_g	210	1	207	H0ZJI3	1653	862	930	+1	Uncharacterized protein	30	0.04	65	1e-26	124	69	0.95
5871_g	327	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5872_g	546	365	541	Q08514	412	242	300	-3	POL-like (Fragment)	8	0.14	34	2e-11	73	59	0.58
5873_g	138	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5874_g	696	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5875_g	96	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5876_g	738	1	735	A5K1Q1	354	109	353	+1	Serine/threonine protein kinase, putative 	30	0.69	216	2e-132	476	245	0.89
5877_g	669	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5878_g	252	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5879_g	144	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5880_g	84	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5881_g	285	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5882_g	426	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5883_g	954	73	798	B3L0R1	268	23	263	+1	Putative uncharacterized protein	30	0.90	115	2e-51	208	242	0.48
5884_g	528	1	525	B3L322	341	173	341	+1	Camp-dependent protein kinase catalytic 	30	0.51	147	9e-85	317	175	0.84
5885_g	246	19	195	O96150	132	68	126	+1	DNA-directed RNA polymerase II 16 kDa 	16	0.45	44	5e-16	88	59	0.75
5886_g	144	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5887_g	843	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5888_g	165	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5889_g	117	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5890_g	87	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5891_g	300	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5892_g	1347	1	1173	Q8I3H9	537	1	401	+1	Nucleolar preribosomal GTPase, putative 	14	0.75	170	9e-64	249	403	0.43
5893_g	937	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5894_g	1611	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5895_g	414	10	411	Q8I290	143	5	138	+1	Putative uncharacterized protein	13	0.94	97	9e-56	220	134	0.73
5896_g	784	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5897_g	537	1	516	A5K351	574	403	574	+1	Putative uncharacterized protein	7	0.30	100	1e-54	216	172	0.59
5898_g	681	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5899_g	271	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5900_g	267	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5901_g	69	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5902_g	333	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5903_g	303	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5904_g	111	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5905_g	714	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5906_g	830	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5907_g	162	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5908_g	321	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5909_g	1273	371	1234	Q4Z7K1	254	4	234	+2	Putative uncharacterized protein (Fragment) 	30	0.30	40	3e-22	112	75	0.54
5910_g	219	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5911_g	189	25	180	C0H551	543	490	541	+1	Glutamine synthetase, putative	4	0.10	35	1e-12	77	52	0.68
5912_g	1888	1564	1887	E6UF61	288	189	288	+1	Putative uncharacterized protein	2	0.39	35	6e-08	65	111	0.32
5913_g	183	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5914_g	54	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5915_g	1920	31	1743	Q8IL87	661	5	636	+1	eIF2A	30	0.96	322	8e-179	632	633	0.51
5916_g	213	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5917_g	252	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5918_g	45	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5919_g	546	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5920_g	621	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5921_g	315	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5922_g	114	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5923_g	201	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5924_g	390	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5925_g	219	11	166	H1A1Q8	211	160	211	+2	Uncharacterized protein (Fragment)	30	0.25	52	4e-22	108	52	1.00
5926_g	153	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5927_g	192	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5928_g	786	1	327	A5KAX0	1914	678	786	+1	P-type ATPase, putative	30	0.06	80	3e-41	174	109	0.74
5929_g	555	1	189	A5KAX0	1914	494	545	+1	P-type ATPase, putative	7	0.03	36	1e-08	64	63	0.58
5930_g	480	22	480	Q7R9D3	201	4	181	+1	Putative uncharacterized protein PY06929 	4	0.90	75	5e-13	78	180	0.42
5931_g	1875	172	1866	Q8II15	682	109	632	+1	Conserved Plasmodium protein	5	0.29	91	5e-40	171	201	0.46
5932_g	1039	383	577	Q8IJE8	5767	2411	2475	+2	Conserved Plasmodium protein	1	0.01	31	4e-09	67	65	0.48
5933_g	216	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5934_g	39	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5935_g	303	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
5936_g	855	223	354	C0H4S9	1362	498	540	+1	Putative uncharacterized protein	1	0.03	27	7e-06	56	44	0.62
301_g	6093	784	6084	C0H5K1	2048	312	2046	+1	Term=calpain;db_xref=PMID:19164769;evidence=infer 	30	0.61	691	0	1305	1252	0.56
302_g	567	1	564	A5K2M8	196	1	196	+1	Putative uncharacterized protein	30	1.00	137	4e-78	295	196	0.70
303_g	1596	1	1419	F0VBR8	510	12	464	+1	Putative uncharacterized protein	30	0.93	322	4e-172	610	473	0.69
304_g	705	4	702	C0H5K0	273	34	273	+1	14-3-3 protein, putative	30	0.88	138	3e-76	289	241	0.58
305_g	600	1	594	Q7RA02	198	1	198	+1	Putative uncharacterized protein PY06706 	13	1.00	159	1e-94	350	198	0.81
306_g	408	166	390	E6R8I0	599	475	547	+1	Sterol O-acyltransferase, putative	30	0.13	36	6e-14	81	75	0.48
307_g	825	1	822	Q7RNQ7	274	1	274	+1	DNA polymerase sliding clamp 2	30	1.00	239	3e-127	459	274	0.88
308_g	7818	16	7815	B3L703	2609	9	2609	+1	Putative uncharacterized protein	23	1.00	1691	0	3218	2602	0.65
309_g	657	244	654	Q8ID89	228	75	211	+1	Cytochrome c oxidase subunit 2, putative 	30	0.60	114	6e-69	265	137	0.84
310_g	312	61	309	Q8ID90	137	55	137	+1	Putative uncharacterized protein	7	0.61	64	1e-31	140	83	0.78
311_g	690	4	687	B3L706	389	52	264	+1	Putative uncharacterized protein	20	0.59	121	3e-49	199	228	0.54
312_g	4962	412	4893	B3L2T4	1345	20	1324	+1	Putative uncharacterized protein	9	0.38	188	4e-79	303	505	0.38
313_g	4092	1	3939	C0H565	1378	108	1326	+1	Putative uncharacterized protein	8	0.32	126	5e-45	189	442	0.29
314_g	2904	1	2868	Q8I2P2	839	1	838	+1	NAD synthase, putative	30	1.15	452	0	799	968	0.47
315_g	4248	1600	2196	Q8I2P1	1225	491	685	+1	Putative uncharacterized protein	5	0.17	69	4e-16	93	205	0.34
316_g	663	1	618	Q7RSU9	215	1	205	+1	Putative uncharacterized protein PY00254 	30	0.96	125	6e-66	255	206	0.61
317_g	468	1	462	Q8I2N9	156	1	155	+1	CS domain protein, putative	30	0.99	107	2e-56	222	155	0.70
318_g	597	1	582	Q8I2N8	192	1	192	+1	Putative uncharacterized protein	18	1.01	132	3e-75	285	194	0.69
319_g	105	1	78	C0H566	1627	14	39	+1	Putative uncharacterized protein	1	0.02	23	6e-07	58	26	0.89
320_g	4854	1	261	Q4Z610	162	9	102	+1	Putative uncharacterized protein (Fragment) 	8	0.58	67	2e-28	134	94	0.72
321_g	2049	1	2043	I2FKD0	641	1	641	+1	Fumarate hydratase	30	1.06	468	0	911	681	0.69
322_g	1908	187	1740	Q4XZD1	544	46	533	+1	Ribosomal protein L15, putative	20	0.95	351	1e-169	602	518	0.68
323_g	2424	4	1215	H8WGY3	3012	467	1454	+1	Protein CBG24242	30	0.13	94	7e-15	88	404	0.24
324_g	207	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
325_g	2673	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
326_g	6216	1	6099	A2EN31	5296	51	5006	+1	Viral A-type inclusion protein, putative 	30	0.30	343	4e-50	207	1610	0.22
327_g	4944	157	4920	A2E8Z5	4057	196	4030	+1	Viral A-type inclusion protein, putative 	30	0.33	270	2e-32	148	1334	0.21
328_g	1857	43	1821	B3SRB7	1535	30	658	+1	Gag-pol polyprotein	2	0.44	139	3e-10	72	676	0.21
329_g	741	1	432	F8NHR9	1240	448	624	+1	Putative uncharacterized protein	30	0.14	55	3e-13	80	179	0.31
330_g	324	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
331_g	810	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
332_g	723	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
333_g	2619	190	1449	Q8IKN6	973	28	417	+1	Putative uncharacterized protein	6	0.47	124	2e-29	137	455	0.28
334_g	1119	124	1035	Q8IKN7	340	30	333	+1	Putative uncharacterized protein	11	0.89	178	2e-109	401	304	0.59
335_g	651	1	513	A5K3G3	182	1	171	+1	Putative uncharacterized protein	30	0.94	126	1e-57	228	171	0.74
336_g	2271	853	2268	Q8IKP0	797	323	797	+1	Putative uncharacterized protein	30	0.60	369	0	754	475	0.78
337_g	2505	433	2496	Q8IKP1	741	99	739	+1	DEAD box helicase, putative	30	0.94	395	0	734	698	0.57
338_g	279	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
339_g	2364	247	2352	B3L9H7	750	54	741	+1	Putative uncharacterized protein	5	0.99	304	1e-140	506	742	0.41
340_g	1068	10	1062	Q8IKP4	353	1	352	+1	Putative uncharacterized protein	30	1.00	267	2e-141	507	354	0.76
341_g	4383	301	3366	Q8IKP5	1163	78	814	+1	Putative uncharacterized protein	7	0.60	208	1e-76	294	699	0.30
342_g	4521	2104	4464	Q8IKP6	1469	648	1463	+1	Putative uncharacterized protein	11	0.59	324	3e-74	286	862	0.38
343_g	5382	1846	5376	Q8IKP8	1528	357	1524	+1	Putative uncharacterized protein	30	0.41	276	3e-127	463	633	0.44
344_g	2157	520	2154	Q6J153	583	139	583	+1	Vivapain-1	30	0.47	132	7e-70	271	274	0.49
345_g	1515	148	1512	Q8IEH1	464	9	464	+1	Putative uncharacterized protein	15	0.98	315	0	653	457	0.69
346_g	2565	13	2559	Q8IEH2	2518	1455	2514	+1	Putative uncharacterized protein	9	0.22	212	3e-90	338	561	0.38
347_g	7359	4	2034	Q8IEH3	752	3	694	+1	Putative uncharacterized protein	13	0.74	301	2e-171	610	554	0.55
348_g	3270	310	3267	B3LBV4	1188	85	1186	+1	Putative uncharacterized protein	18	0.94	448	0	694	1113	0.41
349_g	1203	1	1200	C0H5B4	400	1	400	+1	Putative uncharacterized protein	30	1.00	234	3e-124	450	400	0.59
350_g	4440	700	4176	Q7RND4	1955	19	1058	+1	Chloroquine resistance marker protein 	8	0.29	233	1e-81	311	567	0.42
351_g	6189	91	6186	B3LBV2	3214	1323	3212	+1	Putative uncharacterized protein	12	0.33	301	1e-82	315	1074	0.29
352_g	8553	2626	8433	B3LBV0	2026	309	2013	+1	Putative uncharacterized protein	30	0.79	563	0	903	1608	0.36
353_g	4314	235	4263	Q8IEH8	1737	12	1716	+1	Putative uncharacterized protein	10	0.37	251	2e-112	413	649	0.39
354_g	1674	91	1650	Q8IJD9	588	26	584	+1	Conserved Plasmodium protein	22	0.97	285	2e-129	468	573	0.50
355_g	3930	1	1134	Q4YBT1	560	1	317	+1	Putative uncharacterized protein (Fragment) 	7	0.39	100	1e-39	171	218	0.46
356_g	2058	1039	2013	Q4YBT2	541	197	525	+1	RNA binding protein, putative	30	0.61	180	5e-101	374	329	0.55
357_g	6732	5020	6450	G0QMF1	943	476	930	+1	Putative uncharacterized protein	6	0.54	105	1e-07	66	509	0.21
358_g	792	1	789	Q8IJD4	263	1	263	+1	40S ribosomal protein SA	30	1.00	221	2e-129	467	263	0.85
359_g	858	1	852	B3L231	288	2	288	+1	Biotin--acetyl-CoA-carboxylase ligase, 	30	1.00	146	2e-74	284	287	0.51
360_g	5352	4213	4647	Q8IJD3	1811	1411	1564	+1	Conserved Plasmodium protein	5	0.09	64	4e-25	124	154	0.42
361_g	2226	133	2208	Q8IJD2	772	32	772	+1	Mpp10 protein, putative	30	0.42	166	1e-62	247	322	0.52
362_g	1899	361	1896	Q4YCE7	532	24	532	+1	Putative uncharacterized protein	30	0.96	361	0	776	512	0.71
363_g	981	4	408	A5KE19	485	86	215	+1	Merozoite capping protein 1, putative 	10	0.28	49	2e-13	82	136	0.37
364_g	147	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
365_g	2457	274	2220	C5HDX5	795	76	704	+1	Cysteine-rich surface protein (Fragment) 	30	0.85	163	5e-29	135	675	0.25
366_g	1194	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
367_g	1317	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
368_g	306	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
369_g	1392	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
370_g	1662	33	914	H3AG39	256	3	256	-2	Uncharacterized protein (Fragment)	30	0.99	97	8e-39	167	253	0.39
371_g	1383	139	987	Q8IBH6	5561	920	1222	+1	Putative uncharacterized protein	1	0.06	68	4e-06	58	311	0.22
372_g	2415	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
373_g	252	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
374_g	1770	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
375_g	1713	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
376_g	567	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
377_g	1284	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
378_g	324	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
379_g	2328	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
380_g	1494	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
381_g	1008	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
382_g	2427	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
383_g	3876	763	3288	Q4YNH1	1269	548	1209	+1	Putative uncharacterized protein (Fragment) 	3	0.27	129	4e-46	193	346	0.38
384_g	1803	67	1800	Q7RNL1	629	42	629	+1	Arabidopsis thaliana T10O24.21-related 	30	0.94	387	0	780	590	0.66
385_g	1404	145	1107	Q8I5L2	435	27	352	+1	Conserved Plasmodium protein	10	0.75	177	4e-70	271	328	0.54
386_g	684	1	678	Q7RNK9	227	1	226	+1	Ribulose-phosphate 3-epimerase	30	1.00	178	3e-102	376	226	0.79
387_g	576	1	570	Q7RNG5	190	1	190	+1	Putative phosphatidylethanolamine-binding 	30	1.00	125	1e-75	286	190	0.66
388_g	5100	19	5007	Q9U421	1555	16	1497	+1	P-type ATPase2	30	0.61	478	0	825	950	0.51
389_g	6060	7	6027	Q8I5L6	1997	2	1994	+1	Clathrin heavy chain, putative	30	1.03	1510	0	2820	2053	0.74
390_g	8244	133	8235	Q8I5L7	2974	76	2961	+1	Formin 2, putative	30	0.21	338	2e-168	600	620	0.55
391_g	2964	100	2523	B3L9X8	960	34	804	+1	Chaperone protein HtpG 2	30	0.84	647	0	1242	809	0.80
392_g	1212	46	1176	Q8IL33	408	17	405	+1	Zinc finger protein, putative	30	0.97	222	1e-110	405	394	0.57
393_g	636	1	633	B3L9Y0	274	22	232	+1	Dephospho-CoA kinase	30	0.77	166	7e-88	328	211	0.79
394_g	5742	1	5688	B3L9Y1	1839	1	1781	+1	Spindle pole body protein, putative	30	0.97	891	0	1425	1785	0.50
395_g	2469	76	2463	Q7RNA9	771	7	770	+1	Putative uncharacterized protein PY01911 	30	1.06	442	0	746	816	0.55
396_g	2766	43	2535	Q4YNR2	784	8	773	+1	Putative uncharacterized protein	8	1.08	328	5e-156	557	850	0.39
397_g	291	1	273	Q8IL38	101	1	100	+1	Small nuclear ribonucleoprotein, putative 	30	0.99	77	5e-26	121	100	0.77
398_g	1734	1	1722	Q8IL39	596	1	594	+1	Putative uncharacterized protein	20	0.65	213	3e-114	417	389	0.55
399_g	1635	1	1629	Q8IL40	574	1	574	+1	Putative uncharacterized protein	8	0.49	137	3e-62	245	280	0.49
400_g	4677	532	4674	Q8IL41	1268	76	1268	+1	Serine/threonine protein kinase, putative 	30	0.87	420	2e-169	602	1109	0.38
401_g	9081	142	8775	Q8IL42	3384	26	3239	+1	Guanine nucleotide exchange factor, putative 	30	0.29	508	0	747	979	0.52
402_g	1394	172	605	F9WSZ0	414	1	412	+3	Putative uncharacterized protein (Fragment) 	30	0.22	32	2e-14	53	92	0.35
403_g	1047	909	1034	A7RAH6	81	7	81	-2	Putative uncharacterized protein c027R 	2	0.52	25	3e-07	61	42	0.60
404_g	3879	1306	1974	D8N114	531	49	530	+1	Collagen triple helix repeat, putative 	30	0.37	83	4e-36	159	195	0.43
405_g	2754	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
406_g	3447	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
407_g	1944	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
408_g	297	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
409_g	189	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
